NDC Description,NDC,NADAC Per Unit,Effective Date,Pricing Unit,Pharmacy Type Indicator,OTC,Explanation Code,Classification for Rate Setting,Corresponding Generic Drug NADAC Per Unit,Corresponding Generic Drug Effective Date,As of Date
ABILIFY 10 MG TABLET,59148000813,18.68756,12/18/2024,EA,C/I,N,1,B,0.11884,12/18/2024,01/01/2025
ABILIFY 15 MG TABLET,59148000913,18.71385,12/18/2024,EA,C/I,N,1,B,0.12704,12/18/2024,01/01/2025
ABILIFY 2 MG TABLET,59148000613,18.68779,12/18/2024,EA,C/I,N,1,B,0.10842,12/18/2024,01/01/2025
ABILIFY 20 MG TABLET,59148001013,26.43628,12/18/2024,EA,C/I,N,1,B,0.17766,12/18/2024,01/01/2025
ABILIFY 30 MG TABLET,59148001113,26.29378,12/18/2024,EA,C/I,N,1,B,0.15748,12/18/2024,01/01/2025
ABILIFY 5 MG TABLET,59148000713,18.72337,12/18/2024,EA,C/I,N,1,B,0.1012,12/18/2024,01/01/2025
ABSORICA 20 MG CAPSULE,10631011631,35.67007,12/18/2024,EA,C/I,N,1,B,13.30043,12/18/2024,01/01/2025
ABSORICA 20 MG CAPSULE,10631011669,35.67007,12/18/2024,EA,C/I,N,1,B,13.30043,12/18/2024,01/01/2025
ABSORICA 30 MG CAPSULE,10631011731,38.43095,12/18/2024,EA,C/I,N,1,B,14.70449,12/18/2024,01/01/2025
ABSORICA 30 MG CAPSULE,10631011769,38.43095,12/18/2024,EA,C/I,N,1,B,14.70449,12/18/2024,01/01/2025
ABSORICA 40 MG CAPSULE,10631011831,37.77682,12/18/2024,EA,C/I,N,1,B,16.85601,12/18/2024,01/01/2025
ABSORICA 40 MG CAPSULE,10631011869,37.77682,12/18/2024,EA,C/I,N,1,B,16.85601,12/18/2024,01/01/2025
ACANYA GEL PUMP,13548013250,10.17456,06/19/2024,GM,C/I,N,"4, 5",B,1.11671,12/18/2024,01/01/2025
ACTONEL 35 MG TABLET,430047203,81.73508,12/18/2024,EA,C/I,N,1,B,1.80143,12/18/2024,01/01/2025
ACTONEL 35 MG TABLET,430047207,81.73508,12/18/2024,EA,C/I,N,1,B,1.80143,12/18/2024,01/01/2025
ACULAR 0.5% EYE DROPS,23218105,53.0952,11/20/2024,ML,C/I,N,"4, 5",B,1.28434,12/18/2024,01/01/2025
ADCIRCA 20 MG TABLET,66302046760,67.34436,05/22/2024,EA,C/I,N,4,B,0.2658,12/18/2024,01/01/2025
ADDERALL 10 MG TABLET,57844011001,10.28107,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.2249,12/18/2024,01/01/2025
ADDERALL 15 MG TABLET,57844011501,10.25782,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.23161,12/18/2024,01/01/2025
ADDERALL 20 MG TABLET,57844012001,10.27694,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.34027,12/18/2024,01/01/2025
